id,title,learning_outcome_id,created_at,updated_at
2,Specific and relevant information is accessed from appropriate sources,1,2023-04-03 05:38:54,2023-04-03 05:38:54
3,"Effective questioning, active listening and speaking skills are used to gather and convey information",1,2023-04-03 05:38:59,2023-04-03 05:38:59
4,Appropriate medium is used to transfer information and ideas,1,2023-04-03 05:39:09,2023-04-03 05:39:09
5,Appropriate non-verbal communication is used,1,2023-04-03 05:39:11,2023-04-03 05:39:11
6,Appropriate lines of communication with supervisors and colleagues are identified and followed,1,2023-04-03 05:39:14,2023-04-03 05:39:14
7,Defined workplace procedures for the location and storage of information are used,1,2023-04-03 05:39:16,2023-04-03 05:39:16
8,Personal interaction is carried out clearly and concisely,1,2023-04-03 05:39:20,2023-04-03 05:39:20
9,Simple conversations on familiar topics with work colleagues is participated,2,2023-04-03 05:39:31,2023-04-03 05:39:31
10,Simple verbal instructions or requests are responded to,2,2023-04-03 05:39:34,2023-04-03 05:39:34
11,Simple requests are made,2,2023-04-03 05:39:37,2023-04-03 05:39:37
12,Routine procedures are described,2,2023-04-03 05:39:41,2023-04-03 05:39:41
13,"Likes, dislikes and preferences are expressed",2,2023-04-03 05:39:44,2023-04-03 05:39:44
14,Different forms of expression in English is identified,2,2023-04-03 05:39:47,2023-04-03 05:39:47
15,Team meetings are attended on time,3,2023-04-03 05:39:58,2023-04-03 05:39:58
16,Own opinions are clearly expressed and those of others are listened to without interruption,3,2023-04-03 05:40:00,2023-04-03 05:40:00
17,Meeting inputs are consistent with the meeting purpose and established protocols,3,2023-04-03 05:40:05,2023-04-03 05:40:05
18,Workplace interactions are conducted in a courteous manner,3,2023-04-03 05:40:09,2023-04-03 05:40:09
19,Questions about simple routine workplace procedures and matters concerning working conditions of employment are asked and responded to,3,2023-04-03 05:40:13,2023-04-03 05:40:13
20,Meeting outcomes are interpreted and implemented,3,2023-04-03 05:40:15,2023-04-03 05:40:15
21,Range of forms relating to conditions of employment are completed accurately and legibly,4,2023-04-03 05:40:35,2023-04-03 05:40:35
22,Workplace data is recorded on standard workplace forms and documents,4,2023-04-03 05:40:38,2023-04-03 05:40:38
23,Basic mathematical processes are used for routine calculations,4,2023-04-03 05:40:41,2023-04-03 05:40:41
24,Errors in recording information on forms/documents are identified and properly acted upon,4,2023-04-03 05:40:43,2023-04-03 05:40:43
25,Reporting requirements to supervisor are completed according to organizational guidelines,4,2023-04-03 05:40:45,2023-04-03 05:40:45
26,The role and objective of the team is identified from available sources of information,5,2023-04-03 05:41:08,2023-04-03 05:41:08
27,"Team parameters, reporting relationships and responsibilities are identified from team discussions and appropriate external sources",5,2023-04-03 05:41:11,2023-04-03 05:41:11
29,Individual role and responsibilities within the team environment are identified,6,2023-04-03 05:42:52,2023-04-03 05:42:52
30,Roles and responsibility of other team members are identified and recognized,6,2023-04-03 05:42:55,2023-04-03 05:42:55
31,Reporting relationships within team and external to team are identified,6,2023-04-03 05:42:58,2023-04-03 05:42:58
32,Effective and appropriate forms of communication used and interactions undertaken with team members who contribute to known team activities and objectives,7,2023-04-03 05:43:16,2023-04-03 05:43:16
33,"Effective and appropriate contributions made to complement team activities and objectives, based on individual skills and competencies and workplace context
Observed protocols in reporting using standard operating procedures",7,2023-04-03 05:43:20,2023-04-03 05:43:20
34,Observed protocols in reporting using standard operating procedures,7,2023-04-03 05:43:27,2023-04-03 05:43:27
35,Contribute to the development of team work plans based on an understanding of team’s role and objectives and individual competencies of the members,7,2023-04-03 05:43:30,2023-04-03 05:43:30
36,Information is communicated clearly and in concise manner using appropriate communication techniques,8,2023-04-03 05:43:51,2023-04-03 05:43:51
37,Relationships are established and maintained effectively with colleagues,8,2023-04-03 05:43:55,2023-04-03 05:43:55
38,Work activities are performed within the team to ensure achievement of team goals,8,2023-04-03 05:43:56,2023-04-03 05:43:56
39,"Customers and colleagues from diverse backgrounds are communicated with, in all verbal and nonverbal forms",9,2023-04-03 05:44:16,2023-04-03 05:44:16
40,"Cross cultural misunderstanding are dealt with, taking account of cultural considerations",9,2023-04-03 05:44:19,2023-04-03 05:44:19
41,Personal growth and work plans are pursued towards improving the qualifications set for the profession,10,2023-04-03 05:44:47,2023-04-03 05:44:47
42,Intra and interpersonal relationships are maintained in the course of managing oneself based on performance evaluation,10,2023-04-03 05:44:50,2023-04-03 05:44:50
43,Commitment to the organization and its goal is demonstrated in the performance of duties,10,2023-04-03 05:44:52,2023-04-03 05:44:52
44,"Competing demands are prioritized to achieve personal, team and organizational goals and objectives",11,2023-04-03 05:45:08,2023-04-03 05:45:08
45,Resources are utilized efficiently and effectively to manage work priorities and commitments,11,2023-04-03 05:45:12,2023-04-03 05:45:12
46,Practices along economic use and maintenance of equipment and facilities are followed as per established procedures,11,2023-04-03 05:45:14,2023-04-03 05:45:14
47,Trainings and career opportunities are identified and availed of based on job requirements,12,2023-04-03 05:45:24,2023-04-03 05:45:24
48,Recognitions are sought/received and demonstrated as proof of career advancement,12,2023-04-03 05:45:27,2023-04-03 05:45:27
49,Licenses and/or certifications relevant to job and career are obtained and renewed,12,2023-04-03 05:45:29,2023-04-03 05:45:29
50,Safety regulations and workplace safety and hazard control practices and procedures are clarified and explained based on organization procedures,13,2023-04-03 05:46:20,2023-04-03 05:46:20
51,"Hazards/risks in the workplace and their corresponding indicators are identified to minimize or eliminate risk to co-workers, workplace and environment in accordance with organizational procedures",13,2023-04-03 05:46:23,2023-04-03 05:46:23
52,"Contingency measures during workplace accidents, fire and other emergencies are recognized and established in accordance with organization procedures",13,2023-04-03 05:46:28,2023-04-03 05:46:28
53,Terms of maximum tolerable limits which when exceeded will result in harm or damage are identified based on threshold limit values (TLV),14,2023-04-03 05:46:38,2023-04-03 05:46:38
54,Effects of the hazards are determined,14,2023-04-03 05:46:45,2023-04-03 05:46:45
55,OHS issues and/or concerns are identified safety hazards are reported to designated personnel in accordance with workplace requirements and relevant workplace OHS legislation,14,2023-04-03 05:46:48,2023-04-03 05:46:48
56,Occupational Health and Safety (OHS) procedures for controlling hazards/risks in workplace are consistently followed,15,2023-04-03 05:46:59,2023-04-03 05:46:59
57,"Procedures for dealing with workplace accidents, fire and emergencies are followed in accordance with organization OHS policies",15,2023-04-03 05:47:02,2023-04-03 05:47:02
58,Personal protective equipment is correctly used in accordance with organization OHS procedures and practices,15,2023-04-03 05:47:04,2023-04-03 05:47:04
59,Appropriate assistance is provided in the event of a workplace emergency in accordance with established organization protocol,15,2023-04-03 05:47:06,2023-04-03 05:47:06
60,Emergency-related drills and training are participated in as per established organization guidelines and procedures,16,2023-04-03 05:47:16,2023-04-03 05:47:16
61,OHS personal records are completed and updated in accordance with workplace requirements,16,2023-04-03 05:47:19,2023-04-03 05:47:19
62,Situation is assessed in accordance with accepted practice,17,2023-04-03 05:47:27,2023-04-03 05:47:27
63,Basic first-aid techniques is applied in accordance with established first-aid procedures and enterprise policy,17,2023-04-03 05:47:29,2023-04-03 05:47:29
64,Details of the incident is communicated in a timely manner according to enterprise policy,17,2023-04-03 05:47:31,2023-04-03 05:47:31
65,Sources of information on the industry are correctly identified and accessed,18,2023-04-03 05:48:12,2023-04-03 05:48:12
66,Information to assist effective work performance is obtained in line with job requirements,18,2023-04-03 05:48:15,2023-04-03 05:48:15
67,Specific information on sector of work is accessed and updated,18,2023-04-03 05:48:18,2023-04-03 05:48:18
68,Industry information is correctly applied to day-to-day work activities,18,2023-04-03 05:48:20,2023-04-03 05:48:20
69,Informal and/or formal research is used to update general knowledge of the industry,19,2023-04-03 05:48:28,2023-04-03 05:48:28
70,Updated knowledge is shared with customers and colleagues as appropriate and incorporated into day-to-day working activities,19,2023-04-03 05:48:30,2023-04-03 05:48:30
71,Local knowledge is developed to assist queries on local/national tourism industry,20,2023-04-03 05:48:48,2023-04-03 05:48:48
72,Local knowledge is updated using information and/or form research,20,2023-04-03 05:48:51,2023-04-03 05:48:51
73,Contact with local communities is maintained,20,2023-04-03 05:48:55,2023-04-03 05:48:55
74,Promotional initiatives are described that may be used to promote products and services,21,2023-04-03 05:49:05,2023-04-03 05:49:05
75,Selling skills are applied accordion to customer needs,21,2023-04-03 05:49:09,2023-04-03 05:49:09
76,Workplace hygiene procedures are implemented in line with enterprise and legal requirements,22,2023-04-03 05:49:35,2023-04-03 05:49:35
77,Handling and storage of items are undertaken in line with enterprise and legal requirements,22,2023-04-03 05:49:39,2023-04-03 05:49:39
78,Potential hygiene risks are identified in line with enterprise procedures,23,2023-04-03 05:49:58,2023-04-03 05:49:58
79,Action to minimize and remove risks are taken within scope of individual responsibility of enterprise/legal requirements,23,2023-04-03 05:50:01,2023-04-03 05:50:01
80,Hygiene risks beyond the control of individual staff members are reported to the appropriate person for follow up,23,2023-04-03 05:50:03,2023-04-03 05:50:03
81,Requirements of tasks are determined,24,2023-04-03 05:50:35,2023-04-03 05:50:35
82,Appropriate hardware and software is selected according to task assigned and requirement outcome,24,2023-04-03 05:50:37,2023-04-03 05:50:37
83,Task is planned to ensure OH & S guidelines and procedures are followed,24,2023-04-03 05:50:40,2023-04-03 05:50:40
84,Data are entered into the computer using appropriate program/application in accordance with company procedures,25,2023-04-03 05:50:53,2023-04-03 05:50:53
85,Accuracy of information is checked and information is saved in accordance with standard operating procedures,25,2023-04-03 05:50:55,2023-04-03 05:50:55
86,Inputted data are stored in storage media according to requirements,25,2023-04-03 05:50:59,2023-04-03 05:50:59
87,Work is performed within ergonomic guidelines,25,2023-04-03 05:51:01,2023-04-03 05:51:01
88,Correct program/application is selected based on job requirements,26,2023-04-03 05:51:18,2023-04-03 05:51:18
89,Program/application containing the information required is accessed according to company procedures,26,2023-04-03 05:51:21,2023-04-03 05:51:21
90,"Desktop icons are correctly selected, opened and closed for navigation purposes",26,2023-04-03 05:51:24,2023-04-03 05:51:24
91,Keyboard techniques are carried out in line with OH & S requirements for safe use of keyboards,26,2023-04-03 05:51:28,2023-04-03 05:51:28
92,Entered data are processed using appropriate software commands,27,2023-04-03 05:51:38,2023-04-03 05:51:38
93,Data are printed out as required using computer hardware/peripheral devices in accordance with standard operating procedures,27,2023-04-03 05:51:41,2023-04-03 05:51:41
94,"Files and data are transferred between compatible systems using computer software, hardware/peripheral devices in accordance with standard operating procedures",27,2023-04-03 05:51:44,2023-04-03 05:51:44
95,"Systems for cleaning, minor maintenance and replacement of consumables are implemented",28,2023-04-03 05:52:01,2023-04-03 05:52:01
96,"Procedures for ensuring security of data, including regular back-ups and virus checks are implemented in accordance with standard operating procedures",28,2023-04-03 05:52:04,2023-04-03 05:52:04
97,Basic file maintenance procedures are implemented in line with the standard operating procedures,28,2023-04-03 05:52:07,2023-04-03 05:52:07
98,Document systems are maintained,28,2023-04-03 05:52:09,2023-04-03 05:52:09
99,"Correct health, safety and security procedures are followed in line with legislation, regulations and enterprise procedures",29,2023-04-03 05:52:50,2023-04-03 05:52:50
100,"Breaches of health, safety and security procedures are identified and reported in line with enterprise procedure",29,2023-04-03 05:52:56,2023-04-03 05:52:56
101,Suspicious behavior or unusual occurrence are reported in line with enterprise procedure,29,2023-04-03 05:52:59,2023-04-03 05:52:59
102,Issue of sexual exploitation of children is identified,30,2023-04-03 05:53:11,2023-04-03 05:53:11
103,"National, regional and international actions are described to prevent the sexual exploitation of children",30,2023-04-03 05:53:14,2023-04-03 05:53:14
104,Actions that can be taken in the workplace are described to protect children,30,2023-04-03 05:53:17,2023-04-03 05:53:17
105,Areas and people who require observation and monitoring is prepared,31,2023-04-03 05:53:28,2023-04-03 05:53:28
106,Observation and monitoring activities are implemented,31,2023-04-03 05:53:33,2023-04-03 05:53:33
107,Apprehension of offenders are determined,31,2023-04-03 05:53:42,2023-04-03 05:53:42
108,Offenders are arrested according to enterprise procedures,31,2023-04-03 05:53:49,2023-04-03 05:53:49
109,Administrative responsibilities are fulfilled,31,2023-04-03 05:53:52,2023-04-03 05:53:52
110,Emergency and potential emergency situations are recognized and appropriate action are taken within individual’s scope of responsibility,32,2023-04-03 05:54:03,2023-04-03 05:54:03
111,Emergency procedures are followed in line with enterprise procedures,32,2023-04-03 05:54:06,2023-04-03 05:54:06
112,Assistance is sought from colleagues to resolve or response to emergency situations,32,2023-04-03 05:54:09,2023-04-03 05:54:09
113,Details of emergency situations are reported in line with enterprise procedures,32,2023-04-03 05:54:12,2023-04-03 05:54:12
114,Safe personal standards are identified and followed in line with enterprise requirements,33,2023-04-03 05:54:22,2023-04-03 05:54:22
116,Customers are greeted according to enterprise procedure,34,2023-04-03 06:15:30,2023-04-03 06:15:30
117,Verbal and non-verbal communications are appropriate to the given situation,34,2023-04-03 06:15:32,2023-04-03 06:15:32
118,Non verbal communication are observed when responding to customers,34,2023-04-03 06:15:35,2023-04-03 06:15:35
119,Sensitivity to cultural and social differences is demonstrated,34,2023-04-03 06:15:38,2023-04-03 06:15:38
120,Appropriate interpersonal skills are used to ensure that customer needs are accurately identified,35,2023-04-03 06:15:53,2023-04-03 06:15:53
121,Customer needs are assessed for urgency so that priority for service delivery can be identified,35,2023-04-03 06:15:56,2023-04-03 06:15:56
122,Customers are provided with information,35,2023-04-03 06:15:59,2023-04-03 06:15:59
123,Personal limitation in addressing customer and colleague needs is identified and where appropriate assistance is sought from supervisor,35,2023-04-03 06:16:02,2023-04-03 06:16:02
124,Customer needs are promptly attended to in line with enterprise procedure,36,2023-04-03 06:16:15,2023-04-03 06:16:15
125,Appropriate rapport is maintained with customer to enable high quality service delivery,36,2023-04-03 06:16:17,2023-04-03 06:16:17
126,Opportunity to enhance the quality of service and products are taken wherever possible,36,2023-04-03 06:16:19,2023-04-03 06:16:19
127,Common business tools and technology are used efficiently to determine customer requirements,37,2023-04-03 06:16:38,2023-04-03 06:16:38
128,Queries/information are recorded in line with enterprise procedure,37,2023-04-03 06:16:42,2023-04-03 06:16:42
129,Queries are acted upon promptly and correctly in line with enterprise procedure,37,2023-04-03 06:16:45,2023-04-03 06:16:45
